name,id
연세봄이비인후과의원,34974707
바이브성형외과의원,1854766091
테헤란체리산부인과의원,1689959609
트임성형외과의원,35629363
에이트성형외과의원,31986276
링크성형외과의원,1606187935
은승표코리아정형외과의원,19523328
한미성형외과의원,11537843
연세펠리체여성의원,13291762
아이러브강남의원,36854203
서울스타치과의원,33707387
서울브레인신경과의원,12799280
뷰성형외과의원,11709005
화접몽한의원 강남본점,19838331
아이엘의원,36883223
한티닥터스피부과의원,1714656341
새서울정형외과의원,36477007
하우연한의원,37929517
윌비성형외과의원,1277437056
베스트원의원,1282472621
박선혜산부인과의원,19530156
강남비앤비의원,37486058
원데이치과의원 제1관,1158304762
루이빈치과,11604702
양재오라클피부과의원,20514705
연세정&김내과의원,36643330
인의한의원,37236580
아이코닉의원,836265980
로렐의원,1752420383
더제이의원,1163378000
최재민소아청소년과,19518039
아이토마토한의원,33703733
바이오미의원,13090397
강남새로치과의원,1350995313
압구정밝은안과의원,1292746074
대치에스마취통증의학과의원,76282487
한희피부과의원,30805888
모우림의원,1859764370
김호중이비인후과의원,37882412
줌구강악안면외과치과의원,36084246
에스원성형외과의원,20986192
터한의원 강남점,1060553931
담소유병원,21897880
생각과마음의원,12818552
메종프리베의원,13332691
제이엠가정의학과의원 대치,1575051935
디바인성형외과의원,1872598263
밸런스랩성형외과의원,1094218524
닥터진의원,1319628162
모아만의원,32872809
러블리안성형외과의원,1448603654
이스트만치과의원,11558855
임플라인치과의원,35251503
압구정 오라클치과의원,31125080
지오성형외과의원,11737396
MH의원,20299828
아반트성형외과의원,1510402460
신소애여성의원,11868090
해아림한의원 강남,32582085
청담비아이의원,13040939
더치과의원,12071031
아이라인성형외과,11532903
연세라인업의원,12000595
삼성S유외과의원,1327158937
도곡경희한의원,1851927612
새시대한의원,11687886
머스트성형외과의원,1745274953
신석호정신과의원,19516781
마디로한의원 선릉,1036931386
주앤의원,21355101
뉴연세치과의원,13315110
바노바기성형외과의원,21033469
서울삼성안과의원,11524803
청담공의원,1220685651
예선정신건강의학과의원,1432062208
더새로이의원,1438622225
휘마의원,19515501
티오피성형외과의원,37357263
강남루덴플러스치과의원,11737262
CHA의과대학교 강남차병원 응급실,243080658
제이미성형외과의원,19827925
닥터비의원,13318477
구정치과의원,13205480
압구정오라클피부과의원,12941697
안성열성형외과피부과의원,11580498
하늘느낌피부과의원,12047271
엠여성의원,33331176
올로성형외과의원,1151326480
서울치과병원,12877523
연세우리소아청소년과의원,19524063
굿모닝소아청소년과의원,1940314163
제일정형외과병원 별관,1384000043
스템케이성형외과의원,36473647
강남연세소아과의원,19526977
아셈내과의원,36560800
디데이성형외과의원,1916840390
무지개의원,19527358
한빛가정의학과의원,19792705
스케치성형외과의원,1632496492
비타민의원,20099537
온리아이성형외과의원,1559401320
디에이의원 청담,1502689252
삐땅기의원,11546399
대치퍼스트정형외과의원,1464547152
디비성형외과의원,1891827594
삼성키즈소아청소년과의원,1139383568
이혜미산부인과의원,11533828
진심 정신건강의학과의원,37383313
강남e조은안과의원,11526487
모티브성형외과의원,21093652
연의원,1886470661
원스의원 압구정,1729139555
레이의원,35895975
강남구립행복요양병원,20790282
위드유의원,36477151
초이스피부과의원 신사,11527880
선릉쉼표정신건강의학과의원,1088577404
양재바른정형외과의원,1557354643
다소니의원,1616878689
송영욱내과의원,1058033549
서울알파정신건강의학과의원,1598062477
모바른한상보의원,1483518130
선능필내과의원,19521328
푸른나무치과의원,12057684
올리나의원,564518042
끌레어의원,37549350
서울손내과의원,37153288
삼성수비뇨의학과의원,1199214778
역삼이창훈이비인후과의원,30830634
강남숲정신건강의학과의원,1710637045
에이엠성형외과의원,1417820306
차소연의원,1209744784
변한의원,11688871
에스지정신건강의학과의원,1905523802
아이오유성형외과의원,13194018
루쎄여성의원,36912388
논현여성의원,13152293
강남나무병원,38324997
탑페이스성형외과의원,33283530
셀리앤의원,1278178530
양재유앤미의원,31608533
엠제이의원,1687218758
BR피부과의원,21705360
김성민이비인후과의원,12803018
스케줄의원,1791453827
이상피부과의원,1773991574
뽀드베베의원,863234027
미녀사랑산부인과의원,806946259
플러스성모안과의원,11733688
압구정연세안과의원,13343835
서울열린치과의원,1007161015
스위츠피부과의원,1566343474
리원피부과의원,632639207
더루루의원,1250999626
하나비의원,38473209
삼성마음숲정신건강의학과의원,1925405566
윤앤최이비인후과의원,34615595
압구정연한의원,19515659
세이프플란트치과의원,20373298
서진성형외과의원,1036415992
세곡이화산부인과의원,1155672024
리즈산부인과의원,37275147
썸의원,1001029081
리뉴얼의원,36184664
프리마성형외과의원,11531317
강남지인병원,1818726342
디케이의원,12753804
송안과의원,19530913
아비스가정의학과의원,19754103
더푸른이비인후과의원,11700068
아이엔성형외과의원,13342022
가암염원석성형외과의원,1433125490
아이유의원,13344099
서울매스티지치과의원,19478186
드림한마음재활의학과의원,33142062
유진성모안과,1835273025
연세윤치과의원,19515637
아이콘안과의원,1217565300
강남바른내과의원,1652536721
연세에스의원,1338155536
수서정형외과의원,1358628948
더삼점영피부과의원,13004419
생각과느낌의원,11782918
더제이엠의원,1026019443
아이들세상치과의원,11891642
첫눈애안과의원,1597154159
오에프피구강내과치과의원,1832959065
유레카피부과의원,20059232
에버스마일치과교정과치과의원,13164792
리연케이의원,32315460
소망치과의원,19524775
라리성형외과의원,13182122
에펠산부인과의원,1201611893
허브신경과의원,13221155
아름경희한의원,20144381
오인성형외과의원,13107247
아림치과병원,20614446
골든발란스여성의원,1434428634
안효승내과의원,1239731952
청연한의원,19518301
이에스청담 성형외과의원,1377121604
세림의원,19521524
디자인치과의원,13224429
아름다운치과의원,1345787902
휴먼성형외과의원,19927405
서울포레스트 정신건강의학과의원,1758149945
연세지아이내과의원,13175174
청담봄여성의원,1457163359
청담아이비성형외과의원,13543447
네오유여성비뇨기과의원,35338101
코코라인의원,20042960
모리의원,13563225
좋은아침외과의원,11530689
연세유라인치과의원 강남역점,1363068306
드림피부과의원,13105285
연세이롬이비인후과의원,1484123267
르로제의원,1737445905
강남세브란스병원 응급진료센터,327943882
라해의원,1496474900
세실내과의원,13013718
강남구보건소 분소,11640748
청담데이원의원,1310828763
나누리병원 강남 신관,1399488943
시네마의원,1732578272
명옥헌한의원,20585550
한빛의원,11602593
닥터홈즈의원,33839757
아름다운세상의원,1897642504
삼성밸런스의원,37357261
포샤르치과의원,11681074
크리스마스성형외과의원,37333358
르치과의원,1870826459
